node,lon,lat
182,43.09008,-89.35111
183,43.091425,-89.327512
184,43.074989,-89.382342
185,43.090551,-89.356518
186,43.078671,-89.384114
187,43.076457,-89.423976
188,43.089334,-89.433693
189,43.086257,-89.434878
190,43.078849,-89.429817
191,43.086191,-89.436434
192,43.080289,-89.428136
193,43.086348,-89.433704
194,43.089087,-89.438266
195,43.084275,-89.433568
196,43.086637,-89.441761
197,43.089721,-89.437322
198,43.090519,-89.435668
199,43.086325,-89.438598
200,43.07703,-89.428301
201,43.072879,-89.459796
202,43.050989,-89.444161
203,43.067852,-89.478158
204,43.053483,-89.450538
205,43.052723,-89.43567
206,43.050779,-89.446662
207,43.056029,-89.472692
208,43.04968,-89.454434
209,43.069289,-89.463167
210,43.073972,-89.433666
211,43.060708,-89.447134
212,43.060819,-89.441739
213,43.06409,-89.434146
214,43.076409,-89.413023
215,43.072782,-89.421875
216,43.067395,-89.454775
217,43.068013,-89.471477
218,43.061044,-89.472588
219,43.053597,-89.458804
220,43.067981,-89.424062
221,43.084051,-89.478088
222,43.056737,-89.467958
223,43.073811,-89.436152
224,43.05596,-89.441938
225,43.072918,-89.463696
226,43.071306,-89.438573
227,43.053719,-89.465915
228,43.068038,-89.4737
229,43.073047,-89.457127
230,43.049922,-89.450959
231,43.075163,-89.450399
232,43.07237,-89.425566
233,43.080396,-89.472723
234,43.068442,-89.451317
235,43.076409,-89.416219
236,43.068122,-89.476097
237,43.082275,-89.4749
238,43.071322,-89.45489
239,43.067995,-89.467991
240,43.053736,-89.463862
241,43.069499,-89.446118
242,43.074208,-89.47383
243,43.069425,-89.444002
244,43.069193,-89.454093
245,43.074097,-89.467913
246,43.053689,-89.45469
247,43.049967,-89.457881
248,43.072989,-89.467467
249,43.05373,-89.47041
250,43.077339,-89.469621
251,43.062457,-89.436294
252,43.053451,-89.447647
253,43.077622,-89.479663
254,43.07894,-89.426722
255,43.064141,-89.47127
256,43.060977,-89.457976
257,43.049964,-89.467429
258,43.065977,-89.415472
259,43.083461,-89.48048
260,43.060709,-89.450745
261,43.070463,-89.441716
262,43.051312,-89.439447
263,43.0754,-89.447056
264,43.076434,-89.420364
265,43.074878,-89.438444
266,43.053727,-89.441939
267,43.060966,-89.46534
268,43.051809,-89.473671
269,43.060699,-89.443911
270,43.054987,-89.469465
271,43.079336,-89.480095
272,43.057227,-89.45128
273,43.082621,-89.48195
274,43.075973,-89.466971
275,43.07242,-89.451345
276,43.075451,-89.456624
277,43.067915,-89.427926
278,43.07114,-89.47806
279,43.057117,-89.429095
280,43.060944,-89.423139
281,43.05357,-89.444151
282,43.08127,-89.481317
283,43.074141,-89.428672
284,43.05761,-89.441784
285,43.072593,-89.430945
286,43.073376,-89.43397
287,43.061035,-89.438506
288,43.060939,-89.454511
289,43.078181,-89.433241
290,43.068067,-89.450047
291,43.063731,-89.456212
292,43.058521,-89.42684
293,43.071397,-89.453136
294,43.074673,-89.464546
295,43.06081,-89.461335
296,43.068443,-89.45275
297,43.063631,-89.419192
298,43.074753,-89.478001
299,43.075113,-89.443898
300,43.049966,-89.463322
301,43.076472,-89.468973
302,43.067807,-89.416473
303,43.068041,-89.447702
304,43.067955,-89.421054
305,43.059243,-89.468739
306,43.068019,-89.426661
307,43.076171,-89.479034
308,43.055138,-89.431923
309,43.060722,-89.478147
310,43.049948,-89.471433
